    scope     |              k              | present 
--------------+-----------------------------+---------
 inner_author | affiliatesHighlightedLabel  |   27841
 inner_author | automatedBy                 |   27841
 inner_author | canDm                       |   27841
 inner_author | canMediaTag                 |   27841
 inner_author | coverPicture                |   27841
 inner_author | createdAt                   |   27841
 inner_author | description                 |   27841
 inner_author | entities                    |   27841
 inner_author | fastFollowersCount          |   27841
 inner_author | favouritesCount             |   27841
 inner_author | followers                   |   27841
 inner_author | following                   |   27841
 inner_author | hasCustomTimelines          |   27841
 inner_author | id                          |   27841
 inner_author | isAutomated                 |   27841
 inner_author | isBlueVerified              |   27841
 inner_author | isTranslator                |   27841
 inner_author | isVerified                  |   27841
 inner_author | location                    |   27841
 inner_author | mediaCount                  |   27841
 inner_author | name                        |   27841
 inner_author | pinnedTweetIds              |   27841
 inner_author | possiblySensitive           |   27841
 inner_author | profile_bio                 |   27841
 inner_author | profilePicture              |   27841
 inner_author | status                      |   27841
 inner_author | statusesCount               |   27841
 inner_author | twitterUrl                  |   27841
 inner_author | type                        |   27841
 inner_author | url                         |   27841
 inner_author | userName                    |   27841
 inner_author | verifiedType                |   27841
 inner_author | withheldInCountries         |   27841
 inner_raw    | article                     |   27841
 inner_raw    | author                      |   27841
 inner_raw    | bookmarkCount               |   27841
 inner_raw    | card                        |   27841
 inner_raw    | conversationId              |   27841
 inner_raw    | createdAt                   |   27841
 inner_raw    | displayTextRange            |   27841
 inner_raw    | entities                    |   27841
 inner_raw    | extendedEntities            |   27841
 inner_raw    | id                          |   27841
 inner_raw    | inReplyToId                 |   27841
 inner_raw    | inReplyToUserId             |   27841
 inner_raw    | inReplyToUsername           |   27841
 inner_raw    | isReply                     |   27841
 inner_raw    | lang                        |   27841
 inner_raw    | likeCount                   |   27841
 inner_raw    | place                       |   27841
 inner_raw    | quoteCount                  |   27841
 inner_raw    | quoted_tweet                |   27841
 inner_raw    | replyCount                  |   27841
 inner_raw    | retweetCount                |   27841
 inner_raw    | retweeted_tweet             |   27841
 inner_raw    | source                      |   27841
 inner_raw    | text                        |   27841
 inner_raw    | twitterUrl                  |   27841
 inner_raw    | type                        |   27841
 inner_raw    | url                         |   27841
 inner_raw    | viewCount                   |   27841
 inner_raw    | communityInfo               |   26780
 inner_raw    | isLimitedReply              |   26780
 top          | author_followers_count      |   27841
 top          | author_handle               |   27841
 top          | author_name                 |   27841
 top          | author_verified             |   27841
 top          | bookmark_count              |   27841
 top          | created_at                  |   27841
 top          | id                          |   27841
 top          | in_reply_to_user_id         |   27841
 top          | is_quote                    |   27841
 top          | is_reply                    |   27841
 top          | is_retweet                  |   27841
 top          | lang                        |   27841
 top          | quote_count                 |   27841
 top          | raw                         |   27841
 top          | reply_count                 |   27841
 top          | retweet_count               |   27841
 top          | text                        |   27841
 top          | brand_id                    |   25833
 top          | brand_ids                   |   25833
 top          | like_count                  |   25833
 top          | mentions                    |   25833
 top          | quoted_author_handle        |   24083
 top          | quoted_status_id            |   24083
 top          | quoted_text                 |   24083
 top          | author_id                   |   23158
 top          | classifications             |   23158
 top          | author_description          |    7600
 top          | author_fast_followers_count |    7600
 top          | author_favourites_count     |    7600
 top          | author_following_count      |    7600
 top          | author_is_blue_verified     |    7600
 top          | author_location             |    7600
 top          | author_media_count          |    7600
 top          | author_profile_bio_text     |    7600
 top          | author_profile_picture      |    7600
 top          | author_statuses_count       |    7600
 top          | author_verified_type        |    7600
 top          | source_query_id             |    4683
 top          | signals                     |    2675
 top          | favorite_count              |    2008
 top          | model_id                    |    2008
 top          | tweet_id                    |     328
 top          | headline                    |     155
 top          | headline_source             |     155
(107 rows)

