call_id,max_results,n_results,n_kept_after_filter,wall_clock_ms,cost_estimate_usd,t_newest,t_oldest,n_within_15min,extrapolated_n_in_15min,extrapolation_confidence,sample_tweet_ids,error
A,50,50,5,5543,0.0075,2026-07-08T06:02:43+00:00,2026-07-07T14:01:49+00:00,1,,high,"2074735914564419905,2074699795311276191,2074689941083185274",
A,100,100,11,11263,0.015,2026-07-08T06:02:43+00:00,2026-07-06T14:31:07+00:00,1,,high,"2074735914564419905,2074699795311276191,2074689941083185274",
A,150,100,11,10554,0.015,2026-07-08T06:02:43+00:00,2026-07-06T14:31:07+00:00,1,,high,"2074735914564419905,2074699795311276191,2074689941083185274",
A,200,100,11,9457,0.015,2026-07-08T06:02:43+00:00,2026-07-06T14:31:07+00:00,1,,high,"2074735914564419905,2074699795311276191,2074689941083185274",
B1,50,50,19,5942,0.0075,2026-07-08T06:58:02+00:00,2026-07-08T06:49:24+00:00,50,,high,"2074749836725727492,2074749816093958534,2074749760695832710",
B1,100,100,30,8677,0.015,2026-07-08T06:58:21+00:00,2026-07-08T06:42:03+00:00,91,92,medium,"2074749915180503319,2074749898382094799,2074749836725727492",
B1,150,100,32,9086,0.015,2026-07-08T06:58:26+00:00,2026-07-08T06:42:29+00:00,94,95,medium,"2074749935522549980,2074749932922343507,2074749924252807268",
B1,200,100,32,9246,0.015,2026-07-08T06:58:26+00:00,2026-07-08T06:42:29+00:00,94,95,medium,"2074749935522549980,2074749932922343507,2074749924252807268",
B2,50,50,9,6229,0.0075,2026-07-08T06:58:44+00:00,2026-07-08T06:56:58+00:00,50,,high,"2074750011049398635,2074750000102346855,2074749997808029717",
B2,100,99,21,10445,0.01485,2026-07-08T06:58:56+00:00,2026-07-08T06:55:29+00:00,99,,high,"2074750062425686190,2074750057186726047,2074750043278758122",
B2,150,99,22,13212,0.01485,2026-07-08T06:59:08+00:00,2026-07-08T06:55:38+00:00,99,,high,"2074750114267025783,2074750104842461680,2074750090779234337",
B2,200,99,24,9966,0.01485,2026-07-08T06:59:19+00:00,2026-07-08T06:55:53+00:00,99,,high,"2074750160375369784,2074750160156893512,2074750147557220480",
B3,50,50,0,9817,0.0075,2026-07-08T06:59:32+00:00,2026-07-08T06:58:03+00:00,50,,high,"2074750213080695003,2074750173092499757,2074750166125678885",
B3,100,100,1,10448,0.015,2026-07-08T06:59:39+00:00,2026-07-08T06:52:44+00:00,100,,high,"2074750242403307664,2074750239190458416,2074750218210562379",
B3,150,100,1,15988,0.015,2026-07-08T06:59:46+00:00,2026-07-08T06:53:07+00:00,100,,high,"2074750270228103537,2074750257653834078,2074750243456045207",
B3,200,100,1,9230,0.015,2026-07-08T07:00:08+00:00,2026-07-08T06:54:50+00:00,100,,high,"2074750364767621437,2074750351467762150,2074750348946780565",
C1,50,50,22,7394,0.0075,2026-07-08T06:59:48+00:00,2026-07-08T05:38:02+00:00,13,16,medium,"2074750280541860025,2074750072718287173,2074749915180503319",
C1,100,100,41,17220,0.015,2026-07-08T06:59:48+00:00,2026-07-08T04:19:35+00:00,13,16,medium,"2074750280541860025,2074750072718287173,2074749915180503319",
C1,150,100,41,17348,0.015,2026-07-08T06:59:48+00:00,2026-07-08T04:19:35+00:00,13,16,medium,"2074750280541860025,2074750072718287173,2074749915180503319",
C1,200,100,41,13986,0.015,2026-07-08T06:59:48+00:00,2026-07-08T04:19:35+00:00,13,16,medium,"2074750280541860025,2074750072718287173,2074749915180503319",
